Class,Accuracy,SampleCount
A,94.2307692307692,676
B,99.7058823529412,680
C,98.5207100591716,676
D,95.2732644017725,677
E,90.9226190476191,672
F,98.0712166172107,674
G,98.379970544919,679
H,98.5185185185185,675
I,96.4549483013294,677
J,99.04,625
K,98.5272459499264,679
L,97.0457902511078,677
M,95.7227138643068,678
N,86.6568914956012,682
O,98.5163204747775,674
P,98.3655274888559,673
Q,96.2686567164179,670
R,95.8333333333333,672
S,95.7100591715976,676
T,95.2592592592593,675
U,90.6110283159464,671
V,94.5185185185185,675
W,96,675
X,95.1327433628319,678
Y,98.8252569750367,681
Z,100,623
