Class,Precision,Recall,F1_Score
A,100,100,100
B,100,100,100
C,100,100,100
D,100,100,100
E,100,96.551724137931,98.2456140350877
F,100,100,100
G,100,100,100
H,100,100,100
I,100,100,100
K,100,100,100
L,100,100,100
M,100,100,100
N,100,100,100
O,100,100,100
P,100,100,100
Q,100,100,100
R,100,100,100
S,96.875,100,98.4126984126984
T,100,100,100
U,100,100,100
V,100,100,100
W,100,100,100
X,100,100,100
Y,100,100,100
